SAnorm_score,stars
7.7781745930520225,4
1.5811388300841895,3
6.147008563985761,5
0.4472135954999579,3
4.9923017660270625,5
0.0,4
3.8890872965260113,4
4.4907311951024935,5
5.30722777603022,5
5.366563145999495,3
2.0,4
7.181324987175317,4
8.371578903249574,5
2.581988897471611,3
5.813776741499453,5
7.5,4
2.82842712474619,3
1.0,3
3.401680257083045,4
5.366563145999495,5
6.92820323027551,4
0.0,5
4.618802153517007,4
5.0,4
5.65685424949238,4
5.715476066494083,5
3.7527767497325675,2
-4.47213595499958,1
0.0,3
5.715476066494083,5
0.3779644730092272,1
6.0,4
8.538149682454623,4
2.6457513110645903,3
-2.4494897427831783,1
4.743416490252569,3
8.0,3
4.024922359499621,5
4.618802153517007,3
4.618802153517007,3
3.779644730092272,4
4.242640687119285,5
5.715476066494083,4
2.1213203435596424,3
4.618802153517007,5
8.48528137423857,5
6.062177826491071,4
4.157609203101499,5
5.65685424949238,4
5.669467095138408,4
4.024922359499621,3
2.3094010767585034,2
2.840187787218772,3
4.949747468305833,4
9.354143466934854,5
6.7082039324993685,4
4.4907311951024935,3
5.0,2
0.0,2
3.5,2
6.3508529610858835,4
0.0,1
2.6832815729997477,2
4.024922359499621,5
-0.8944271909999159,1
3.0,4
3.181980515339464,5
5.773502691896258,3
4.242640687119285,5
6.123724356957946,5
0.7071067811865475,3
3.1304951684997055,5
5.366563145999495,5
2.0,3
1.7677669529663687,5
1.889822365046136,3
4.5,5
5.5,4
6.531972647421809,4
1.7320508075688774,3
0.0,1
3.0,4
6.7082039324993685,4
3.0,5
2.886751345948129,1
3.6742346141747673,4
4.4907311951024935,4
6.0,4
4.157609203101499,5
5.0,4
6.333333333333333,4
4.242640687119285,4
6.425396041156863,5
4.919349550499537,4
3.0,4
8.0,5
6.0,5
5.0,3
6.333333333333333,5
3.401680257083045,5
5.692099788303082,4
6.00832755431992,5
5.333333333333333,5
3.0237157840738176,4
5.30722777603022,5
3.5355339059327373,3
5.5,4
4.024922359499621,5
1.0606601717798212,3
5.5,4
4.0,5
2.1213203435596424,4
0.0,3
6.047431568147635,4
1.7677669529663687,4
0.6666666666666666,1
3.1304951684997055,3
6.260990336999411,4
5.5,3
3.0,3
-0.5773502691896258,2
4.618802153517007,2
4.242640687119285,4
6.047431568147635,4
2.0,2
4.898979485566357,4
5.5,4
1.1547005383792517,2
7.0,4
4.824181513244218,3
7.379024325749306,4
