word_count,review_count,SAnorm_score,stars,value_stars
127,57,7.7781745930520225,4,5
128,57,1.5811388300841895,3,1
190,57,6.147008563985761,5,4
98,57,0.4472135954999579,3,1
106,57,4.9923017660270625,5,3
67,57,0.0,4,1
121,57,3.8890872965260113,4,3
114,57,4.4907311951024935,5,3
97,57,5.30722777603022,5,4
92,57,5.366563145999495,3,4
41,57,2.0,4,1
48,57,7.181324987175317,4,5
105,57,8.371578903249574,5,5
152,57,2.581988897471611,3,2
67,57,5.813776741499453,5,4
202,57,7.5,4,5
80,57,2.82842712474619,3,2
104,57,1.0,3,1
52,57,3.401680257083045,4,2
44,57,5.366563145999495,5,4
105,57,6.92820323027551,4,5
37,57,0.0,5,1
53,57,4.618802153517007,4,3
72,57,5.0,4,3
139,57,5.65685424949238,4,4
59,57,5.715476066494083,5,4
112,57,3.7527767497325675,2,2
29,57,-4.47213595499958,1,1
83,57,0.0,3,1
38,57,5.715476066494083,5,4
171,57,0.3779644730092272,1,1
105,57,6.0,4,4
161,57,8.538149682454623,4,5
86,57,2.6457513110645903,3,2
55,57,-2.4494897427831783,1,1
160,57,4.743416490252569,3,3
105,57,8.0,3,5
48,57,4.024922359499621,5,3
35,57,4.618802153517007,3,3
29,57,4.618802153517007,3,3
99,57,3.779644730092272,4,3
27,57,4.242640687119285,5,3
51,57,5.715476066494083,4,4
84,57,2.1213203435596424,3,2
68,57,4.618802153517007,5,3
97,57,8.48528137423857,5,5
181,57,6.062177826491071,4,4
89,57,4.157609203101499,5,3
108,57,5.65685424949238,4,4
150,57,5.669467095138408,4,4
64,57,4.024922359499621,3,3
65,57,2.3094010767585034,2,2
147,57,2.840187787218772,3,2
66,57,4.949747468305833,4,3
210,57,9.354143466934854,5,5
64,57,6.7082039324993685,4,5
101,57,4.4907311951024935,3,3
160,54,5.0,2,3
101,54,0.0,2,1
65,54,3.5,2,2
49,54,6.3508529610858835,4,4
20,54,0.0,1,1
77,54,2.6832815729997477,2,2
23,54,4.024922359499621,5,3
29,54,-0.8944271909999159,1,1
29,54,3.0,4,2
110,54,3.181980515339464,5,2
36,54,5.773502691896258,3,4
46,54,4.242640687119285,5,3
92,54,6.123724356957946,5,4
30,54,0.7071067811865475,3,1
90,54,3.1304951684997055,5,2
53,54,5.366563145999495,5,4
64,54,2.0,3,1
54,54,1.7677669529663687,5,1
72,54,1.889822365046136,3,1
43,54,4.5,5,3
43,54,5.5,4,4
32,54,6.531972647421809,4,5
39,54,1.7320508075688774,3,1
24,54,0.0,1,1
37,54,3.0,4,2
46,54,6.7082039324993685,4,5
107,54,3.0,5,2
100,54,2.886751345948129,1,2
51,54,3.6742346141747673,4,2
40,54,4.4907311951024935,4,3
21,54,6.0,4,4
57,54,4.157609203101499,5,3
30,54,5.0,4,3
88,54,6.333333333333333,4,4
33,54,4.242640687119285,4,3
61,54,6.425396041156863,5,4
31,54,4.919349550499537,4,3
23,54,3.0,4,2
209,54,8.0,5,5
55,54,6.0,5,4
38,54,5.0,3,3
89,54,6.333333333333333,5,4
64,54,3.401680257083045,5,2
225,54,5.692099788303082,4,4
89,54,6.00832755431992,5,4
67,54,5.333333333333333,5,4
59,54,3.0237157840738176,4,2
39,54,5.30722777603022,5,4
25,54,3.5355339059327373,3,2
48,54,5.5,4,4
43,54,4.024922359499621,5,3
101,54,1.0606601717798212,3,1
67,54,5.5,4,4
52,54,4.0,5,3
129,53,2.1213203435596424,4,2
96,53,0.0,3,1
123,53,6.047431568147635,4,4
88,53,1.7677669529663687,4,1
117,53,0.6666666666666666,1,1
94,53,3.1304951684997055,3,2
