SAnorm_score,value_stars
7.7781745930520225,5
1.5811388300841895,1
6.147008563985761,4
0.4472135954999579,1
4.9923017660270625,3
0.0,1
3.8890872965260113,3
4.4907311951024935,3
5.30722777603022,4
5.366563145999495,4
2.0,1
7.181324987175317,5
8.371578903249574,5
2.581988897471611,2
5.813776741499453,4
7.5,5
2.82842712474619,2
1.0,1
3.401680257083045,2
5.366563145999495,4
6.92820323027551,5
0.0,1
4.618802153517007,3
5.0,3
5.65685424949238,4
5.715476066494083,4
3.7527767497325675,2
-4.47213595499958,1
0.0,1
5.715476066494083,4
0.3779644730092272,1
6.0,4
8.538149682454623,5
2.6457513110645903,2
-2.4494897427831783,1
4.743416490252569,3
8.0,5
4.024922359499621,3
4.618802153517007,3
4.618802153517007,3
3.779644730092272,3
4.242640687119285,3
5.715476066494083,4
2.1213203435596424,2
4.618802153517007,3
8.48528137423857,5
6.062177826491071,4
4.157609203101499,3
5.65685424949238,4
5.669467095138408,4
4.024922359499621,3
2.3094010767585034,2
2.840187787218772,2
4.949747468305833,3
9.354143466934854,5
6.7082039324993685,5
4.4907311951024935,3
5.0,3
0.0,1
3.5,2
6.3508529610858835,4
0.0,1
2.6832815729997477,2
4.024922359499621,3
-0.8944271909999159,1
3.0,2
3.181980515339464,2
5.773502691896258,4
4.242640687119285,3
6.123724356957946,4
0.7071067811865475,1
3.1304951684997055,2
5.366563145999495,4
2.0,1
1.7677669529663687,1
1.889822365046136,1
4.5,3
5.5,4
6.531972647421809,5
1.7320508075688774,1
0.0,1
3.0,2
6.7082039324993685,5
3.0,2
2.886751345948129,2
3.6742346141747673,2
4.4907311951024935,3
6.0,4
4.157609203101499,3
5.0,3
6.333333333333333,4
4.242640687119285,3
6.425396041156863,4
4.919349550499537,3
3.0,2
8.0,5
6.0,4
5.0,3
6.333333333333333,4
3.401680257083045,2
5.692099788303082,4
6.00832755431992,4
5.333333333333333,4
3.0237157840738176,2
5.30722777603022,4
3.5355339059327373,2
5.5,4
4.024922359499621,3
1.0606601717798212,1
5.5,4
4.0,3
2.1213203435596424,2
0.0,1
6.047431568147635,4
1.7677669529663687,1
0.6666666666666666,1
3.1304951684997055,2
6.260990336999411,4
5.5,4
3.0,2
-0.5773502691896258,1
4.618802153517007,3
4.242640687119285,3
6.047431568147635,4
2.0,1
4.898979485566357,3
5.5,4
1.1547005383792517,1
7.0,5
4.824181513244218,3
7.379024325749306,5
7.483314773547883,5
6.4142698058981855,4
1.414213562373095,1
6.531972647421809,5
7.559289460184544,5
1.414213562373095,1
8.75,5
0.7071067811865475,1
4.157609203101499,3
2.3094010767585034,2
6.882472016116853,5
2.3094010767585034,2
4.242640687119285,3
4.618802153517007,3
0.7559289460184544,1
8.333333333333334,5
2.0,1
5.27656187902292,4
2.82842712474619,2
4.714951667914447,3
4.5,3
4.242640687119285,3
6.123724356957946,4
2.5,2
6.75,5
4.333333333333333,3
0.5,1
4.221158824088691,3
5.366563145999495,4
4.898979485566357,3
4.242640687119285,3
5.0,3
6.940220937885672,5
5.333333333333333,4
9.70725343394151,5
6.543303050815759,5
6.80336051416609,5
5.692099788303082,4
6.80336051416609,5
4.913538149119954,3
0.0,1
4.743416490252569,3
4.522670168666455,3
5.715476066494083,4
4.898979485566357,3
3.8729833462074166,3
1.507556722888818,1
5.505977612893481,4
8.55235974119758,5
-0.30151134457776363,1
-0.22941573387056174,1
4.901894677425396,3
4.00693842672377,3
7.201190377787749,5
4.08248290463863,3
4.743416490252569,3
4.9923017660270625,3
2.3333333333333335,2
4.008918628686366,3
5.185449728701349,4
4.949747468305833,3
1.7888543819998317,1
5.728715546977509,4
6.639528095680697,5
5.27656187902292,4
3.401680257083045,2
6.5484618759809905,5
4.0,3
9.66379267621615,5
2.8577380332470415,2
-0.8164965809277261,1
3.0,2
3.951316644589048,3
4.596194077712559,3
